code,summary,refined_summary
1111,"숙면을 취하고 있는 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면, 신체 건강, 정서 상태, 사회적 관계 모두 안정적인 상태로 전반적인 삶의 균형이 잘 유지되고 있습니다."
1112,"숙면을 취하고 있는 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면, 신체 건강, 정서 상태는 매우 양호하나, 사회적 관계에서의 외로움이 감지되어 주변과의 소통이 도움이 될 수 있습니다."
1121,"숙면을 취하고 있는 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 신체 건강은 양호하며, 정서적으로는 다소 예민할 수 있으나 사회적 관계는 건강하게 유지되고 있습니다."
1122,"숙면을 취하고 있는 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면과 신체 건강은 안정적이지만, 정서적 예민함과 사회적 거리감이 함께 느껴질 수 있어 세심한 돌봄이 필요합니다."
1131,"숙면을 취하고 있는 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 신체 건강은 양호하나, 정서적으로는 중간 수준의 어려움이 관찰되며, 사회적 관계는 잘 유지되고 있습니다."
1132,"숙면을 취하고 있는 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면과 신체 기능은 안정적이나, 정서적 어려움과 외로움이 함께 나타날 수 있어 정서적 휴식이 도움이 될 수 있습니다."
1141,"숙면을 취하고 있는 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 신체 건강은 좋으나, 정서적으로는 심리적 부담이 커질 수 있어 정서적 지원이 유익할 수 있습니다."
1142,"숙면을 취하고 있는 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 신체 건강은 유지되고 있으나, 정서적 어려움과 사회적 단절이 동반될 수 있어 차분한 돌봄과 소통이 필요해 보입니다."
1151,"숙면을 취하고 있는 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 신체 상태는 안정적이지만, 정서적으로는 큰 부담이 있는 상태로 지속적인 심리적 관심이 유익할 수 있습니다."
1152,"숙면을 취하고 있는 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면과 신체 건강은 양호하지만, 정서적 고립감과 외로움이 복합적으로 나타날 수 있어 심리·사회적 지원이 권장됩니다."
1211,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호한 편이나, 신체 기능 면에서는 주의가 필요해 일상 속 체력 관리가 중요할 수 있습니다."
1212,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이지만, 신체 기능에 대한 주의와 더불어 사회적 소통을 회복하는 노력이 도움이 될 수 있습니다."
1221,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 관계는 비교적 건강하게 유지되고 있으며, 신체적 주의와 정서적 민감성에 대한 부드러운 대응이 유익할 수 있습니다."
1222,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 양호하나, 건강기능과 정서, 관계 측면에서 모두 다소의 관심이 필요한 시점입니다."
1231,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 사회적 관계는 안정적이나, 건강기능과 정서 상태 모두에서 점진적인 회복이 기대됩니다."
1232,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면은 잘 이루어지고 있지만, 건강기능 저하와 정서적 부담, 관계적 거리감이 함께 관찰될 수 있습니다."
1241,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면은 안정적이지만, 건강기능에 대한 관심과 함께 심리적 회복력을 점검해보는 것이 도움이 될 수 있습니다."
1242,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 유지되고 있으나, 신체적 관리와 정서적 돌봄, 더불어 사회적 연결에 대한 소소한 지원이 필요할 수 있습니다."
1251,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면은 양호하나, 건강기능과 정서적 어려움이 함께 나타날 수 있어 회복을 위한 다면적 접근이 바람직합니다."
1252,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 안정적이지만, 신체 기능 저하와 함께 정서적 위축, 외로움이 복합적으로 작용할 수 있는 상태입니다."
1311,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호하나, 신체 기능의 어려움이 관찰되어 적절한 체력 회복과 관리가 필요합니다."
1312,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이나, 신체 건강의 어려움과 더불어 관계에서의 외로움이 함께 느껴질 수 있습니다."
1321,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 사회적 관계는 안정적이나, 건강기능 저하와 정서적 민감성이 함께 나타날 수 있어 생활 리듬 조절이 중요합니다."
1322,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 양호하지만, 신체적 불편과 정서적 민감성, 사회적 단절감이 복합적으로 영향을 줄 수 있는 시점입니다."
1331,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 사회적 관계는 건강하게 유지되고 있으나, 신체 기능 저하와 정서적 부담이 함께 동반될 수 있습니다."
1332,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면은 유지되고 있으나, 건강기능의 어려움과 감정적 불편감, 관계 속 고립감이 나타날 수 있어 유연한 대응이 필요합니다."
1341,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 사회적 관계는 양호하지만, 신체적 어려움과 정서적 긴장감이 함께 느껴질 수 있습니다."
1342,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 잘 이루어지고 있지만, 건강기능 저하와 정서적 부담, 사회적 거리감이 복합적으로 관찰됩니다."
1351,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 관계는 양호하나, 건강기능이 저하되고 정서적 어려움이 심화되어 세심한 관심과 돌봄이 필요할 수 있습니다."
1352,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면 상태는 유지되고 있으나, 건강과 정서, 관계적 안정이 모두 흔들릴 수 있어 다차원적 회복이 요구됩니다."
1411,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호하나, 신체 건강 상태에 상당한 주의가 요구되는 상황입니다."
1412,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이지만, 신체 건강의 위협과 함께 사회적 고립감이 동반될 수 있어 다각적인 돌봄이 필요합니다."
1421,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 사회적 관계는 비교적 건강하게 유지되고 있으나, 신체 기능 저하와 정서적 민감성이 함께 관찰됩니다."
1422,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면 상태는 안정적이나, 건강기능의 위험성과 정서적 예민함, 외로움이 함께 나타날 수 있습니다."
1431,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면은 양호하나, 신체 건강의 위기와 감정적 어려움이 함께 나타나 일상 전반에 영향을 줄 수 있습니다."
1432,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면과 관계는 양호하나, 건강기능 저하와 정서적 피로, 관계적 단절이 복합적으로 작용할 수 있습니다."
1441,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 사회적 연결은 유지되고 있지만, 신체적 위험과 정서적 부담이 누적될 가능성이 있어 돌봄이 필요합니다."
1442,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 비교적 안정적이나, 신체 건강의 위험성과 심리적 어려움, 사회적 고립감이 함께 느껴질 수 있습니다."
1451,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 관계는 유지되고 있으나, 신체 건강 악화와 정서적 고립감이 심화될 수 있어 복합적인 대응이 중요합니다."
1452,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 안정적이지만, 건강기능의 위협, 감정적 취약성, 외로움이 모두 영향을 줄 수 있는 복합적 상태입니다."
1511,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 안정적인 편이나, 신체 기능의 심각한 저하가 관찰되어 적극적인 건강 관리가 요구됩니다."
1512,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서는 안정적으로 유지되고 있으나, 신체 건강의 위협성과 사회적 고립감이 동시에 관찰되어 다방면의 관심이 필요합니다."
1521,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 사회적 관계는 양호하나, 건강기능 저하와 정서적 민감성이 함께 나타나 일상 조율이 도움이 될 수 있습니다."
1522,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 유지되고 있으나, 신체 건강의 위험성과 감정적 부담, 외로움이 함께 영향을 줄 수 있습니다."
1531,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 사회적 관계는 안정적인 편이나, 건강기능의 심각한 저하와 중간 수준의 정서적 어려움이 동반될 수 있습니다."
1532,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면 상태는 양호하지만, 건강기능 저하, 정서적 피로감, 사회적 거리감이 복합적으로 작용할 수 있습니다."
1541,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 사회적 관계는 유지되고 있으나, 신체 건강의 심각한 저하와 정서적 불안정성이 함께 나타날 수 있습니다."
1542,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 양호하나, 신체 위험성과 정서적 어려움, 외로움이 함께 관찰되어 다차원적 회복이 필요할 수 있습니다."
1551,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 사회적 관계는 유지되지만, 건강기능 저하가 매우 심각하며, 정서적 고립감이 심화될 가능성이 있습니다."
1552,"숙면을 취하고 있는 상태, 건강기능에 심각한 위험이 있는 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면 상태는 안정적이지만, 심각한 건강 위협과 정서적 취약성, 사회적 단절이 함께 영향을 미치는 복합적인 상황입니다."
2111,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 신체 건강, 정서, 사회적 관계는 안정적이나, 수면의 질에서 일부 주의가 필요한 상황입니다."
2112,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 전반적인 건강 상태는 양호하지만, 수면의 질 저하와 더불어 외로움에 대한 감수성이 높아질 수 있습니다."
2121,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 신체 기능과 사회적 관계는 건강하게 유지되고 있으며, 정서적으로는 가볍게 예민할 수 있고, 수면 습관 조정이 도움이 될 수 있습니다."
2122,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면의 질과 정서적 민감성, 관계적 거리감이 함께 나타날 수 있어 일상적인 리듬 점검이 유익할 수 있습니다."
2131,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 신체 건강과 관계는 양호하지만, 수면의 질과 정서적 부담이 복합적으로 영향을 줄 수 있는 상태입니다."
2132,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면의 질 저하와 함께 정서적 피로, 사회적 연결 약화가 함께 관찰되어 전반적인 회복 여건 조성이 도움이 될 수 있습니다."
2141,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면의 질 저하와 정서적 어려움이 동반되지만, 사회적 관계는 비교적 유지되고 있어 감정 관리가 우선적으로 고려됩니다."
2142,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서적 안정성이 저하된 상태에서 사회적 고립감까지 더해져 복합적인 돌봄이 필요할 수 있습니다."
2151,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 신체 건강과 관계는 안정적이지만, 수면의 질과 정서적 취약성이 크게 저하된 상태로, 정서적 여유 회복이 필요합니다."
2152,"수면 건강에 주의가 필요한 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면의 질 저하, 정서적 고립감, 외로움이 함께 관찰되어 일상 회복에 전반적인 배려가 요구됩니다."
2211,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 신체 건강에서 모두 주의가 필요하지만, 정서 상태와 사회적 관계는 안정적으로 유지되고 있습니다."
2212,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 건강기능에 관리가 필요한 시점이며, 정서적 안정감은 있지만 관계 측면에서의 외로움이 주의됩니다."
2221,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 신체 건강에 일부 부담이 있으며, 정서적으로 가벼운 민감성과 함께 일상 조율이 도움이 될 수 있습니다."
2222,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 신체·수면 상태에서 다소의 불편함이 존재하며, 정서적 민감성과 외로움이 복합적으로 영향을 줄 수 있습니다."
2231,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 건강기능 모두에서 조정이 필요한 가운데, 정서적 부담이 점차 늘어나기 전에 회복 환경 조성이 중요합니다."
2232,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 신체와 수면에서의 어려움과 함께, 정서 및 관계적 거리감이 함께 관찰되어 전반적인 생활 리듬 재정비가 필요합니다."
2241,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 건강 상태에 주의가 필요한 가운데, 정서적 어려움이 더해져 감정 관리가 중요해 보입니다."
2242,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 전반적인 신체·수면 상태뿐 아니라, 정서와 사회적 연결의 어려움까지 동반되어 다층적인 돌봄이 요구됩니다."
2251,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 건강기능 모두 조절이 필요한 상황에서, 정서적 취약성이 크게 관찰되어 정서 회복 중심의 접근이 필요합니다."
2252,"수면 건강에 주의가 필요한 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면 및 신체 기능 저하, 정서적 부담, 외로움이 복합적으로 나타나는 상태로, 전반적인 회복 계획이 중요합니다."
2311,"수면 건강에 주의가 필요한 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 신체 기능에서 모두 어려움이 있으나, 정서와 사회적 관계는 안정적으로 유지되고 있어 긍정적인 회복 기반이 있습니다."
2312,"수면 건강에 주의가 필요한 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 건강기능에 어려움이 있으나, 정서적 안정감은 유지되고 있으며 관계적 외로움에는 따뜻한 소통이 도움이 될 수 있습니다."
2321,"수면 건강에 주의가 필요한 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 건강 상태는 다소 불안정하며, 정서적으로 가벼운 부담이 동반되나 사회적 관계는 잘 유지되고 있습니다."
2322,"수면 건강에 주의가 필요한 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면과 신체 건강에 어려움이 있고 정서적 예민함과 외로움이 함께 나타날 수 있어 세심한 조율이 필요합니다."
2331,"수면 건강에 주의가 필요한 상태, 건강기능에 어려움이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 건강기능의 어려움이 감지되며, 정서적 피로가 누적될 수 있어 감정 회복을 위한 일상적 여유가 중요합니다."
